Step,Player,Start_Cash,Risk_Ratio,End_Cash,Rank,Asset_Gap_From_Top,Inv_Stock_W,Return_Stock_W,Inv_Stock_X,Return_Stock_X,Inv_Stock_Y,Return_Stock_Y,Inv_Stock_Z,Return_Stock_Z,Is_Ranking_Published
11,Player_B,91362.9,0.8,90700.1,-,-,18272.6,-0.07,18272.6,-0.076,18272.6,0.007,18272.6,0.102,False
11,Player_C,108999.8,0.8,108209.0,-,-,21800.0,-0.07,21800.0,-0.076,21800.0,0.007,21800.0,0.102,False
11,Player_D,105878.5,0.8,105110.4,-,-,21175.7,-0.07,21175.7,-0.076,21175.7,0.007,21175.7,0.102,False
12,Player_A,100044.8,0.0,100044.8,3,8164.2,0.0,-0.033,0.0,-0.202,0.0,0.015,0.0,0.045,True
12,Player_B,90700.1,0.9,83294.9,4,17509.0,27210.0,-0.033,36280.0,-0.202,0.0,0.015,18140.0,0.045,True
12,Player_C,108209.0,0.5,109351.3,1,0.0,0.0,-0.033,0.0,-0.202,43283.6,0.015,10820.9,0.045,True
12,Player_D,105110.4,0.75,101454.4,2,3098.6,15766.6,-0.033,21022.1,-0.202,26277.6,0.015,15766.6,0.045,True
13,Player_A,100044.8,0.0,100044.8,-,-,0.0,-0.054,0.0,0.083,0.0,0.022,0.0,-0.316,False
13,Player_B,83294.9,0.8,78907.8,-,-,16659.0,-0.054,16659.0,0.083,16659.0,0.022,16659.0,-0.316,False
13,Player_C,109351.3,0.8,103591.9,-,-,21870.3,-0.054,21870.3,0.083,21870.3,0.022,21870.3,-0.316,False
13,Player_D,101454.4,0.8,96110.9,-,-,20290.9,-0.054,20290.9,0.083,20290.9,0.022,20290.9,-0.316,False
14,Player_A,100044.8,0.0,100044.8,2,3547.0,0.0,-0.058,0.0,-0.003,0.0,0.027,0.0,0.015,True
14,Player_B,78907.8,0.9,77665.4,4,24684.0,23672.3,-0.058,31563.1,-0.003,0.0,0.027,15781.6,0.015,True
14,Player_C,103591.9,0.5,104853.6,1,0.0,0.0,-0.058,0.0,-0.003,41436.7,0.027,10359.2,0.015,True
14,Player_D,96110.9,0.75,96067.9,3,7481.0,14416.6,-0.058,19222.2,-0.003,24027.7,0.027,14416.6,0.015,True
15,Player_A,100044.8,0.0,100044.8,-,-,0.0,-0.021,0.0,0.217,0.0,0.017,0.0,-0.007,False
15,Player_B,77665.4,0.8,80855.8,-,-,15533.1,-0.021,15533.1,0.217,15533.1,0.017,15533.1,-0.007,False
15,Player_C,104853.6,0.8,109160.8,-,-,20970.7,-0.021,20970.7,0.217,20970.7,0.017,20970.7,-0.007,False
15,Player_D,96067.9,0.8,100014.1,-,-,19213.6,-0.021,19213.6,0.217,19213.6,0.017,19213.6,-0.007,False
16,Player_A,100044.8,0.0,100044.8,2,9116.0,0.0,0.14,0.0,0.0,0.0,0.017,0.0,-0.021,True
16,Player_B,80855.8,0.9,83918.5,4,28305.0,24256.7,0.14,32342.3,0.0,0.0,0.017,16171.2,-0.021,True
16,Player_C,109160.8,0.5,109664.6,1,0.0,0.0,0.14,0.0,0.0,43664.3,0.017,10916.1,-0.021,True
16,Player_D,100014.1,0.75,102222.5,3,9146.7,15002.1,0.14,20002.8,0.0,25003.5,0.017,15002.1,-0.021,True
17,Player_A,100044.8,0.0,100044.8,-,-,0.0,0.073,0.0,-0.091,0.0,0.01,0.0,-0.089,False
17,Player_B,83918.5,0.8,82304.3,-,-,16783.7,0.073,16783.7,-0.091,16783.7,0.01,16783.7,-0.089,False
17,Player_C,109664.6,0.8,107555.2,-,-,21932.9,0.073,21932.9,-0.091,21932.9,0.01,21932.9,-0.089,False
17,Player_D,102222.5,0.8,100256.2,-,-,20444.5,0.073,20444.5,-0.091,20444.5,0.01,20444.5,-0.089,False
18,Player_A,100044.8,0.0,100044.8,3,7510.4,0.0,0.129,0.0,-0.004,0.0,-0.262,0.0,-0.444,True
18,Player_B,82304.3,0.9,78069.3,4,25250.9,24691.3,0.129,32921.7,-0.004,0.0,-0.262,16460.9,-0.444,True
18,Player_C,107555.2,0.5,91493.8,1,0.0,0.0,0.129,0.0,-0.004,43022.1,-0.262,10755.5,-0.444,True
18,Player_D,100256.2,0.75,88875.6,2,7299.0,15038.4,0.129,20051.2,-0.004,25064.1,-0.262,15038.4,-0.444,True
19,Player_A,100044.8,0.0,100044.8,-,-,0.0,0.128,0.0,0.083,0.0,0.019,0.0,-0.036,False
19,Player_B,78069.3,0.8,81107.8,-,-,15613.9,0.128,15613.9,0.083,15613.9,0.019,15613.9,-0.036,False
19,Player_C,91493.8,0.8,95054.8,-,-,18298.8,0.128,18298.8,0.083,18298.8,0.019,18298.8,-0.036,False
19,Player_D,88875.6,0.8,92334.7,-,-,17775.1,0.128,17775.1,0.083,17775.1,0.019,17775.1,-0.036,False
20,Player_A,100044.8,0.0,100044.8,1,0.0,0.0,0.032,0.0,0.117,0.0,0.011,0.0,-0.088,True
20,Player_B,81107.8,0.9,84254.6,4,18937.0,24332.3,0.032,32443.1,0.117,0.0,0.011,16221.6,-0.088,True
20,Player_C,95054.8,0.75,96739.6,2,4990.1,14258.2,0.032,19011.0,0.117,23763.7,0.011,14258.2,-0.088,True
20,Player_D,92334.7,0.75,93971.4,3,7710.1,13850.2,0.032,18466.9,0.117,23083.7,0.011,13850.2,-0.088,True
